新規求人数（新規学卒者を除きパートタイムを含む）【実数】,,,,,,,,,,,,,,,,,,,,,新規求人数（新規学卒者を除きパートタイムを含む）【季節調整値】,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",
,85年,60年,"418,923 ","438,371 ","511,856 ","457,668 ","380,379 ","345,557 ","381,458 ","473,399 ","425,763 ","397,867 ","326,835 ","257,644 ","456,383 ","394,535 ","426,873 ","327,449 ","401,310 ","397,521 ",,85年,60年,"402,179 ","411,234 ","400,606 ","409,642 ","407,704 ","400,042 ","400,488 ","400,564 ","397,754 ","391,663 ","392,503 ","391,896 ","404,673 ","405,796 ","399,602 ","392,021 ",
,86年,61年,"417,179 ","416,076 ","490,429 ","427,098 ","351,177 ","321,975 ","357,048 ","436,594 ","405,043 ","386,142 ","304,639 ","256,531 ","441,228 ","366,750 ","399,562 ","315,771 ","380,828 ","381,820 ",,86年,61年,"395,046 ","393,254 ","387,668 ","382,198 ","373,617 ","363,030 ","370,182 ","392,529 ","372,420 ","377,089 ","369,533 ","376,733 ","391,989 ","372,948 ","378,377 ","374,452 ",
,87年,62年,"402,955 ","414,883 ","517,749 ","451,243 ","377,170 ","392,803 ","432,374 ","485,539 ","512,165 ","502,419 ","409,801 ","343,410 ","445,196 ","407,072 ","476,693 ","418,543 ","436,876 ","470,897 ",,87年,62年,"379,225 ","389,393 ","417,214 ","404,097 ","407,181 ","431,159 ","441,142 ","450,319 ","470,851 ","482,208 ","489,737 ","489,388 ","395,277 ","414,146 ","454,104 ","487,111 ",
,88年,63年,"549,010 ","552,774 ","642,054 ","588,830 ","487,141 ","534,623 ","550,638 ","609,871 ","639,507 ","601,680 ","517,250 ","436,031 ","581,279 ","536,865 ","600,005 ","518,320 ","559,117 ","582,232 ",,88年,63年,"508,066 ","497,890 ","517,500 ","534,735 ","539,847 ","576,731 ","568,837 ","568,376 ","585,971 ","588,816 ","593,463 ","604,208 ","507,819 ","550,438 ","574,395 ","595,496 ",
,89年,元年,"659,216 ","628,458 ","733,537 ","663,309 ","572,950 ","591,785 ","601,477 ","654,680 ","672,298 ","630,997 ","552,858 ","463,862 ","673,737 ","609,348 ","642,818 ","549,239 ","618,786 ","627,351 ",,89年,元年,"605,970 ","597,699 ","607,953 ","612,872 ","616,341 ","632,038 ","617,230 ","624,565 ","626,843 ","614,151 ","639,737 ","636,623 ","603,874 ","620,417 ","622,879 ","630,170 ",
,90年,２年,"685,186 ","690,462 ","748,353 ","672,892 ","611,421 ","609,146 ","643,321 ","666,305 ","665,148 ","690,601 ","564,850 ","487,993 ","708,000 ","631,153 ","658,258 ","581,148 ","644,640 ","647,769 ",,90年,２年,"624,361 ","643,407 ","631,414 ","627,196 ","649,841 ","646,598 ","648,240 ","647,127 ","640,743 ","658,076 ","651,029 ","656,874 ","633,061 ","641,212 ","645,370 ","655,326 ",
,91年,３年,"726,034 ","702,128 ","733,385 ","705,328 ","608,900 ","584,127 ","653,564 ","628,085 ","628,853 ","658,047 ","534,807 ","453,863 ","720,516 ","632,785 ","636,834 ","548,906 ","634,760 ","618,537 ",,91年,３年,"657,910 ","652,279 ","633,237 ","641,908 ","640,460 ","638,970 ","642,196 ","622,786 ","613,011 ","636,288 ","604,274 ","599,803 ","647,809 ","640,446 ","625,998 ","613,455 ",
,92年,４年,"668,136 ","638,917 ","659,818 ","630,854 ","512,729 ","519,356 ","556,585 ","516,118 ","570,459 ","545,758 ","426,778 ","402,915 ","655,624 ","554,313 ","547,721 ","458,484 ","554,035 ","532,670 ",,92年,４年,"610,725 ","579,667 ","566,691 ","571,082 ","561,695 ","543,787 ","542,513 ","537,848 ","542,127 ","519,084 ","506,568 ","529,509 ","585,694 ","558,855 ","540,829 ","518,387 ",
,93年,５年,"548,171 ","542,901 ","619,418 ","536,047 ","419,339 ","439,573 ","461,488 ","442,818 ","474,442 ","446,031 ","399,519 ","348,041 ","570,163 ","464,986 ","459,583 ","397,864 ","473,149 ","457,403 ",,93年,５年,"507,778 ","504,734 ","489,605 ","481,758 ","476,457 ","467,240 ","461,692 ","454,959 ","450,879 ","451,604 ","457,255 ","452,125 ","500,706 ","475,152 ","455,843 ","453,661 ",
,94年,６年,"472,881 ","474,070 ","574,584 ","492,469 ","409,091 ","442,003 ","443,668 ","462,276 ","485,923 ","450,121 ","406,603 ","351,808 ","507,178 ","447,854 ","463,956 ","402,844 ","455,458 ","463,569 ",,94年,６年,"429,968 ","448,864 ","461,974 ","457,719 ","453,488 ","464,957 ","460,225 ","461,071 ","462,680 ","457,184 ","457,689 ","455,928 ","446,935 ","458,721 ","461,325 ","456,934 ",
