新規求人数（新規学卒者及びパートタイムを除く）【実数】,,,,,,,,,,,,,,,,,,,,,新規求人数（新規学卒者及びパートタイムを除く）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,91年,３年,"606,280 ","592,927 ","625,945 ","588,838 ","505,685 ","484,500 ","546,736 ","529,439 ","520,209 ","543,267 ","440,721 ","384,050 ","608,384 ","526,341 ","532,128 ","456,013 ","530,716 ","517,551 ",,91年,３年,"552,920 ","546,269 ","514,826 ","535,893 ","534,977 ","535,614 ","538,066 ","522,501 ","514,112 ","533,890 ","508,627 ","504,475 ","538,005 ","535,495 ","524,893 ","515,664 "
,92年,４年,"559,214 ","539,196 ","568,752 ","530,241 ","428,956 ","429,493 ","466,109 ","433,653 ","468,675 ","447,737 ","350,685 ","336,985 ","555,721 ","462,897 ","456,146 ","378,469 ","463,308 ","444,312 ",,92年,４年,"512,377 ","483,397 ","475,306 ","477,453 ","469,546 ","453,971 ","454,463 ","449,579 ","450,063 ","433,349 ","425,130 ","441,204 ","490,360 ","466,990 ","451,368 ","433,228 "
,93年,５年,"455,253 ","456,915 ","527,043 ","447,267 ","347,969 ","360,066 ","379,393 ","364,251 ","385,417 ","358,708 ","320,420 ","284,567 ","479,737 ","385,101 ","376,354 ","321,232 ","390,606 ","375,124 ",,93年,５年,"419,533 ","419,577 ","406,845 ","399,636 ","395,017 ","387,035 ","380,745 ","373,724 ","370,994 ","370,064 ","373,680 ","368,476 ","415,318 ","393,896 ","375,154 ","370,740 "
,94年,６年,"383,968 ","392,428 ","477,035 ","401,626 ","328,834 ","349,989 ","352,407 ","367,381 ","384,366 ","351,774 ","314,833 ","279,911 ","417,810 ","360,150 ","368,051 ","315,506 ","365,379 ","369,133 ",,94年,６年,"349,305 ","364,023 ","369,977 ","368,575 ","362,918 ","370,285 ","368,197 ","364,628 ","370,138 ","365,587 ","361,550 ","361,663 ","361,102 ","367,259 ","367,654 ","362,933 "
,95年,７年,"376,147 ","435,314 ","487,008 ","395,253 ","344,347 ","347,556 ","344,198 ","371,427 ","373,691 ","362,348 ","325,564 ","296,655 ","432,823 ","362,385 ","363,105 ","328,189 ","371,626 ","372,929 ",,95年,７年,"353,685 ","391,884 ","368,716 ","370,022 ","375,433 ","363,825 ","365,750 ","372,166 ","362,812 ","367,035 ","377,281 ","374,018 ","371,428 ","369,760 ","366,909 ","372,778 "
,96年,８年,"389,039 ","433,735 ","491,333 ","433,148 ","388,269 ","359,829 ","414,327 ","405,588 ","416,311 ","436,805 ","380,678 ","332,176 ","438,036 ","393,749 ","412,075 ","383,220 ","406,770 ","417,489 ",,96年,８年,"361,780 ","384,665 ","389,494 ","395,129 ","406,225 ","406,420 ","412,819 ","408,827 ","420,795 ","424,268 ","418,111 ","425,091 ","378,646 ","402,591 ","414,147 ","422,490 "
,97年,９年,"456,364 ","456,749 ","529,627 ","455,342 ","403,163 ","384,860 ","413,725 ","400,688 ","426,356 ","423,541 ","343,004 ","322,416 ","480,913 ","414,455 ","413,590 ","362,987 ","417,986 ","404,044 ",,97年,９年,"430,596 ","426,908 ","430,162 ","422,139 ","418,658 ","425,499 ","419,377 ","420,808 ","416,387 ","408,638 ","400,742 ","402,006 ","429,222 ","422,099 ","418,857 ","403,795 "
,98年,10年,"404,653 ","399,009 ","471,776 ","387,962 ","322,131 ","328,598 ","343,463 ","334,769 ","342,663 ","355,174 ","300,467 ","275,575 ","425,146 ","346,230 ","340,298 ","310,405 ","355,520 ","344,797 ",,98年,10年,"381,324 ","373,006 ","363,836 ","359,802 ","361,456 ","351,242 ","342,702 ","356,170 ","336,240 ","330,897 ","341,742 ","338,075 ","372,722 ","357,500 ","345,037 ","336,905 "
,99年,11年,"349,366 ","358,096 ","439,298 ","384,528 ","277,307 ","306,317 ","340,420 ","324,980 ","349,527 ","358,367 ","317,195 ","284,578 ","382,253 ","322,717 ","338,309 ","320,047 ","340,832 ","349,329 ",,99年,11年,"338,110 ","339,675 ","343,766 ","355,701 ","316,071 ","329,847 ","346,229 ","335,263 ","342,692 ","354,201 ","344,337 ","351,140 ","340,517 ","333,873 ","341,395 ","349,893 "
,00年,12年,"382,802 ","395,873 ","470,048 ","397,130 ","352,669 ","379,295 ","388,502 ","417,145 ","426,338 ","441,711 ","392,708 ","355,163 ","416,241 ","376,365 ","410,662 ","396,527 ","399,949 ","412,074 ",,00年,12年,"370,566 ","362,673 ","367,930 ","381,571 ","387,702 ","400,201 ","410,912 ","416,745 ","416,278 ","425,567 ","433,464 ","430,125 ","367,056 ","389,825 ","414,645 ","429,719 "
