有効求人数（パートタイム）【実数】,,,,,,,,,,,,,,,,,,,,,有効求人数（パートタイム）【季節調整値】,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実　　　　　　　　　　　　　　　　　　　　　　　　　　　　　数,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均",年平均,年度平均,季　　　　　節　　　　　調　　　　　整　　　　　値,西暦,和暦,１月,２月,３月,４月,５月,６月,７月,８月,９月,10月,11月,12月,"1～3月
平均","4～6月
平均","7～9月
平均","10～12月
平均"
,91年,３年,"281,849 ","291,686 ","315,616 ","316,316 ","304,587 ","293,868 ","289,226 ","284,851 ","296,728 ","302,791 ","293,565 ","254,385 ","296,384 ","304,924 ","290,268 ","283,580 ","293,789 ","285,832 ",,91年,３年,"302,203 ","301,470 ","302,200 ","301,288 ","303,501 ","301,621 ","296,218 ","291,213 ","283,676 ","281,816 ","280,048 ","278,195 ","301,958 ","302,137 ","290,369 ","280,020 "
,92年,４年,"255,698 ","262,332 ","275,638 ","269,045 ","246,581 ","244,355 ","237,528 ","233,574 ","253,111 ","255,219 ","241,669 ","209,687 ","264,556 ","253,327 ","241,404 ","235,525 ","248,703 ","238,946 ",,92年,４年,"273,332 ","269,854 ","261,334 ","255,376 ","248,111 ","248,604 ","244,813 ","240,950 ","238,972 ","237,712 ","234,763 ","230,585 ","268,173 ","250,697 ","241,578 ","234,353 "
,93年,５年,"213,652 ","222,913 ","240,021 ","232,959 ","209,387 ","201,280 ","198,124 ","202,225 ","217,620 ","216,881 ","210,981 ","186,833 ","225,529 ","214,542 ","205,990 ","204,898 ","212,740 ","208,383 ",,93年,５年,"226,960 ","227,197 ","221,214 ","218,676 ","213,964 ","209,201 ","207,135 ","206,570 ","206,157 ","205,312 ","204,273 ","205,416 ","225,124 ","213,947 ","206,621 ","205,000 "
,94年,６年,"196,646 ","201,712 ","225,951 ","225,485 ","215,221 ","212,947 ","214,090 ","228,923 ","248,411 ","247,963 ","243,273 ","215,532 ","208,103 ","217,884 ","230,475 ","235,589 ","223,013 ","233,607 ",,94年,６年,"206,763 ","205,077 ","209,892 ","213,311 ","217,588 ","221,065 ","226,210 ","231,838 ","235,014 ","234,986 ","234,075 ","237,828 ","207,244 ","217,321 ","231,021 ","235,630 "
,95年,７年,"226,855 ","248,887 ","275,698 ","272,046 ","251,599 ","241,660 ","238,421 ","253,071 ","273,736 ","283,228 ","281,125 ","254,366 ","250,480 ","255,102 ","255,076 ","272,906 ","258,391 ","267,718 ",,95年,７年,"240,735 ","249,859 ","255,111 ","257,002 ","252,285 ","251,530 ","252,382 ","257,362 ","259,948 ","265,866 ","271,364 ","275,616 ","248,568 ","253,606 ","256,564 ","270,949 "
,96年,８年,"266,165 ","285,180 ","312,017 ","320,329 ","307,502 ","298,569 ","308,930 ","315,903 ","346,736 ","364,845 ","360,666 ","324,522 ","287,787 ","308,800 ","323,856 ","350,011 ","317,614 ","335,710 ",,96年,８年,"282,122 ","288,020 ","293,580 ","301,012 ","306,860 ","314,992 ","321,001 ","325,500 ","333,179 ","339,518 ","347,398 ","353,387 ","287,907 ","307,621 ","326,560 ","346,768 "
,97年,９年,"337,255 ","355,167 ","388,100 ","388,642 ","371,821 ","358,178 ","360,051 ","360,429 ","389,591 ","400,579 ","377,842 ","339,004 ","360,174 ","372,880 ","370,024 ","372,475 ","368,888 ","366,619 ",,97年,９年,"356,582 ","359,462 ","363,982 ","366,832 ","372,534 ","375,080 ","377,447 ","374,134 ","373,082 ","373,513 ","369,157 ","368,457 ","360,009 ","371,482 ","374,888 ","370,376 "
,98年,10年,"335,770 ","345,425 ","372,098 ","361,184 ","333,492 ","325,130 ","320,527 ","326,494 ","352,778 ","360,479 ","347,975 ","315,941 ","351,098 ","339,935 ","333,266 ","341,465 ","341,441 ","341,841 ",,98年,10年,"354,087 ","348,991 ","342,905 ","342,344 ","340,366 ","337,810 ","334,474 ","338,483 ","338,443 ","337,719 ","338,499 ","342,259 ","348,661 ","340,173 ","337,133 ","339,492 "
,99年,11年,"328,995 ","344,375 ","384,719 ","365,227 ","336,293 ","331,990 ","330,020 ","346,661 ","376,021 ","385,320 ","384,232 ","352,564 ","352,696 ","344,503 ","350,901 ","374,039 ","355,535 ","370,931 ",,99年,11年,"344,558 ","347,541 ","355,274 ","346,920 ","346,016 ","345,010 ","347,602 ","354,172 ","361,392 ","367,360 ","372,786 ","381,653 ","349,124 ","345,982 ","354,389 ","373,933 "
,00年,12年,"378,156 ","409,184 ","455,499 ","450,067 ","434,182 ","436,891 ","444,513 ","471,882 ","505,905 ","530,351 ","523,785 ","483,195 ","414,280 ","440,380 ","474,100 ","512,444 ","460,301 ","484,796 ",,00年,12年,"395,602 ","409,239 ","421,224 ","429,968 ","438,095 ","453,196 ","469,147 ","479,086 ","488,926 ","501,457 ","510,036 ","516,563 ","408,688 ","440,420 ","479,053 ","509,352 "
,01年,13年,"490,645 ","505,639 ","540,500 ","530,233 ","502,303 ","480,097 ","480,150 ","481,979 ","492,976 ","498,174 ","484,461 ","433,563 ","512,261 ","504,211 ","485,035 ","472,066 ","493,393 ","484,484 ",,01年,13年,"512,514 ","510,052 ","504,756 ","504,479 ","501,511 ","502,405 ","497,286 ","493,228 ","481,511 ","470,526 ","467,864 ","466,222 ","509,107 ","502,798 ","490,675 ","468,204 "
,02年,14年,"452,976 ","467,333 ","509,559 ","514,899 ","493,667 ","474,812 ","489,479 ","485,459 ","518,543 ","536,836 ","523,748 ","481,816 ","476,623 ","494,459 ","497,827 ","514,133 ","495,761 ","507,694 ",,02年,14年,"472,343 ","471,984 ","479,031 ","485,289 ","492,376 ","498,394 ","501,560 ","505,324 ","507,268 ","508,364 ","511,844 ","512,733 ","474,453 ","492,020 ","504,717 ","510,980 "
,03年,15年,"495,796 ","516,598 ","560,679 ","556,411 ","530,199 ","512,454 ","523,788 ","521,810 ","576,208 ","606,929 ","588,839 ","555,940 ","524,358 ","533,021 ","540,602 ","583,903 ","545,471 ","566,244 ",,03年,15年,"515,818 ","520,964 ","524,101 ","524,246 ","528,105 ","532,181 ","543,181 ","550,223 ","563,488 ","577,104 ","582,161 ","588,611 ","520,294 ","528,177 ","552,297 ","582,625 "
