LASSO,,,,,,,,,,,,,,,,,,,,
,overnight,IPtotal,CPI,3m,10y,MonetaryBase,M2,ExcRate,N42,CapUtil,Consumption,spread,HousingStarts,machineryOrders,TOPIX,Wages,totalHour,EmpInd,disIncome,NewJobOffer
Money&Credit-Quantity-Aggregate,0.063425926,0.475462963,0.277777778,0.143981481,0,0,1.105092593,0.144907407,0.061111111,0.157407407,0.009259259,0.169907407,0,0.468518519,0,0.055555556,0.188425926,0.081944444,0,0.433796296
Output&Income,0.01577381,0.367857143,0.433035714,0.083333333,0,0,0.781547619,0.314285714,0.192261905,0.204166667,0.09375,0.046428571,0.049404762,0.359821429,0,0.138095238,0.05922619,0.257142857,0.008928571,0.841666667
Price-Indices&Wages,0.073106061,0.33030303,0.323484848,0.163636364,0,0.008522727,1.155871212,0.342234848,0.262121212,0.091477273,0.044507576,0.26344697,0,0.406818182,0.000189394,0.106439394,0.107007576,0.264015152,0.012310606,0.693371212
Retail&Manufacturing&Trade-Sales,0.019444444,0.395138889,0.165972222,0.070833333,0,0,1.017361111,0.115972222,0.051388889,0.097916667,0.073611111,0.036111111,0.00625,0.529166667,0,0.336111111,0.25,0.227083333,0.084722222,0.775694444
Stock-Prices,0.048958333,0.29375,0.325,0.191666667,0,0,1.30625,0.373958333,0.239583333,0.034375,0.026041667,0.504166667,0,0.569791667,0,0.036458333,0.058333333,0.255208333,0,0.55
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
gLASSO,,,,,,,,,,,,,,,,,,,,
,overnight,IPtotal,CPI,3m,10y,MonetaryBase,M2,ExcRate,N42,CapUtil,Consumption,spread,HousingStarts,machineryOrders,TOPIX,Wages,totalHour,EmpInd,disIncome,NewJobOffer
Consumption,0.1375,0,0.370833333,0,0,0.033333333,0.329166667,0.033333333,0.329166667,0,0,0.204166667,0,0.333333333,0,0,1.0125,0.695833333,0,0.766666667
Employment&Hours,0.233333333,0,0.466666667,0.133333333,0,0.079166667,0,0.016666667,0.1125,0,0,0.179166667,0,0,0,0,0.479166667,0.0875,0,0.191666667
Exchange-Rates,0.220833333,0,0.7625,0.05,0.041666667,0.079166667,0.495833333,0.533333333,0.370833333,0,0,0.254166667,0,0.379166667,0.008333333,0,0.366666667,0.4,0,0.354166667
Housing-Starts&Sales,0.070833333,0.058333333,0.729166667,0.1125,0,0.095833333,0.25,0.0375,0.158333333,0.058333333,0,0,0,0.066666667,0,0,0.833333333,0.379166667,0,0.070833333
Interest-Rates,0.341666667,0,0.0625,0.025,0,0.029166667,0,0,0.008333333,0,0,0.2125,0,0,0,0,0.266666667,0.116666667,0,0.179166667
Inventories&Orders,0.491666667,0,0.691666667,0.033333333,0,0.220833333,0.225,0.154166667,0.329166667,0,0,0.079166667,0,0.245833333,0,0,0.6375,0.391666667,0,0.383333333
Money&Credit-Quantity-Aggregate,0.175,0,0.420833333,0,0,0.095833333,0.2125,0.004166667,0.029166667,0,0,0.104166667,0,0.125,0,0,1.241666667,0.129166667,0,0.025
Output&Income,0.2125,0,1.1375,0,0,0.133333333,0.095833333,0.308333333,0.429166667,0,0,0.020833333,0.220833333,0.133333333,0,0,0.316666667,0.4,0,0.229166667
Price-Indices&Wages,0.4,0,0.925,0.045833333,0,0.225,0.095833333,0.1125,0.4625,0,0,0.1875,0,0,0,0,0.304166667,0.2875,0,0.379166667
Retail&Manufacturing&Trade-Sales,0.058333333,0,0.329166667,0,0,0,0.091666667,0,0.041666667,0,0,0,0,0.379166667,0,0,1.795833333,0.129166667,0,0.141666667
Stock-Prices,0.529166667,0.095833333,0.520833333,0.108333333,0.058333333,0.291666667,0.2125,0.3625,0.383333333,0.104166667,0,0.933333333,0.020833333,0.095833333,0.05,0,0.2375,0.383333333,0,0.170833333
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DICV,,,,,,,,,,,,,,,,,,,,
,overnight,IPtotal,CPI,3m,10y,MonetaryBase,M2,ExcRate,N42,CapUtil,Consumption,spread,HousingStarts,machineryOrders,TOPIX,Wages,totalHour,EmpInd,disIncome,NewJobOffer
Consumption,0.523518349,0.564364412,0.570902661,0.525774522,0.480180884,0.480180884,0.492303947,0.547197633,0.531893843,0.564364412,0.535461681,0.492303947,0.549974024,0.450175649,0.450175649,0.493590449,0.450175649,0.512418823,0.450175649,0.450175649
Employment&Hours,0.214304216,0.249289761,0.212720347,0.176644388,0.10010056,0.10010056,0.132024482,0.171931375,0.146622281,0.249289761,0.172214945,0.132024482,0.201975592,0.090949846,0.090949846,0.147138475,0.090949846,0.189465089,0.090949846,0.090949846
Exchange-Rates,0.293498541,0.3369926,0.390193518,0.29461371,0.052218114,0.052218114,0.125792381,0.171981966,0.101559292,0.3369926,0.230194495,0.125792381,0.281985086,0.024484987,0.024484987,0.231087552,0.024484987,0.277631745,0.024484987,0.024484987
Housing-Starts&Sales,0.235709941,0.264562925,0.163709939,0.137565582,0.042644858,0.042644858,0.060767758,0.087942866,0.073072239,0.264562925,0.091446975,0.060767758,0.197533889,0.032003112,0.032003112,0.082803372,0.032003112,0.188474577,0.032003112,0.032003112
Interest-Rates,0.176307454,0.206192221,0.172460494,0.146227311,0.09764795,0.09764795,0.108008204,0.136573013,0.122685134,0.206192221,0.140784394,0.108008204,0.168518963,0.084315171,0.084315171,0.121073758,0.084315171,0.158305367,0.084315171,0.084315171
Inventories&Orders,0.315261127,0.398096344,0.448059118,0.33710915,0.194740481,0.194740481,0.240175808,0.356274347,0.309447101,0.398096344,0.320870863,0.240175808,0.3377202,0.130693564,0.130693564,0.266182344,0.130693564,0.297651263,0.130693564,0.130693564
Money&Credit-Quantity-Aggregate,0.214704498,0.252118397,0.212182629,0.174453827,0.071521837,0.071521837,0.099618628,0.139231567,0.114491375,0.252118397,0.134662352,0.099618628,0.174269824,0.058820412,0.058820412,0.125655133,0.058820412,0.191500473,0.058820412,0.058820412
Output&Income,0.52611137,0.584841174,0.58430241,0.534390149,0.445166454,0.445166454,0.466736456,0.515986263,0.507351032,0.584841174,0.511271358,0.466736456,0.524088237,0.407024136,0.407024136,0.475283997,0.407024136,0.511644043,0.407024136,0.407024136
Price-Indices&Wages,0.293033953,0.352686496,0.356732892,0.291856041,0.193701522,0.193701522,0.214374788,0.284043543,0.261196615,0.352686496,0.286460132,0.214374788,0.322908698,0.151106228,0.151106228,0.233056124,0.151106228,0.271642738,0.151106228,0.151106228
Retail&Manufacturing&Trade-Sales,0.433456424,0.487483671,0.493480034,0.43342192,0.336622116,0.336622116,0.364987029,0.422169427,0.39845687,0.487483671,0.408959065,0.364987029,0.434238693,0.301231278,0.301231278,0.377460243,0.301231278,0.417406576,0.301231278,0.301231278
Stock-Prices,0.245630301,0.2837015,0.297838317,0.230739431,0.093598671,0.093598671,0.138085368,0.17868017,0.129767213,0.2837015,0.187848324,0.138085368,0.225861483,0.073528035,0.073528035,0.192749741,0.073528035,0.232276815,0.073528035,0.073528035
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DILASSO,,,,,,,,,,,,,,,,,,,,
,overnight,IPtotal,CPI,3m,10y,MonetaryBase,M2,ExcRate,N42,CapUtil,Consumption,spread,HousingStarts,machineryOrders,TOPIX,Wages,totalHour,EmpInd,disIncome,NewJobOffer
Consumption,0.012537239,0.001128121,0.070986354,0.001450354,0.011735209,0,0.017964897,0.010470361,0.037058385,0.00088366,0.012065136,0.414925378,0,0.001018605,0.031961284,0.215701083,0.376815717,0.107933029,0.116738918,0.019991818
Employment&Hours,0.01559798,0.000363537,0.132151326,0.001683861,0.009124346,0,0.039513311,0.012469771,0.056052446,0.003585131,0.006883264,0.346327698,0,0.000205554,0.025807151,0.117381279,0.23707467,0.070432969,0.028012275,0.026421589
Exchange-Rates,0.024124956,6.06E-05,0.299791228,0.000260317,0.010785225,0,0.09857123,0.038664092,0.054531165,0.009100866,0.004186239,0.444896432,0,0.000147138,0.08144698,0.124986876,0.236991663,0.041956465,0.029010546,0.010401498
Housing-Starts&Sales,0.007706566,0.000704078,0.214144874,0.00016744,0.01657298,0,0.05336811,0.016771053,0.089883334,0.00081431,0.009728327,0.400531146,0,0.000473529,0.032204736,0.156413216,0.284960646,0.118263204,0.031758701,0.009889183
Interest-Rates,0.01109821,0.000432181,0.160419833,0.000562213,0.019347043,0,0.06646794,0.021941863,0.068216138,0.002578364,0.019691302,0.285847664,0,0.001609724,0.038377338,0.126215147,0.229918217,0.091487676,0.03322341,0.013576356
Inventories&Orders,0.01654088,0.000357163,0.125981248,0.000897211,0.009270817,0,0.030314429,0.029324312,0.076489224,0.001386661,0.007907968,0.445433862,0,0.000418982,0.056369562,0.149960508,0.292383909,0.096876102,0.08264177,0.018551697
Money&Credit-Quantity-Aggregate,0.009721759,0.000554838,0.149667096,0.001464069,0.016933237,0,0.047299257,0.019568294,0.063476515,0.001923681,0.009285249,0.329868125,0,0.000579069,0.033290386,0.127993551,0.255439837,0.07452352,0.025913157,0.00831088
Output&Income,0.020145137,8.14E-05,0.109421729,0.000483418,0.00494239,0,0.019840096,0.018777014,0.071768167,0.000482688,0.003986837,0.3789494,0,0.000143445,0.053871238,0.18400095,0.356375773,0.127324314,0.049894055,0.048911159
Price-Indices&Wages,0.010979819,0.000308465,0.123597531,0.001246156,0.011189934,0,0.054426425,0.012674729,0.045584999,0.001843519,0.008172492,0.396258635,0,0.000658955,0.021520128,0.149039559,0.284080164,0.082374531,0.078652095,0.010461285
Retail&Manufacturing&Trade-Sales,0.015764231,0.000372492,0.098953593,0.000161993,0.011030235,0,0.030647582,0.018847556,0.06724635,0.001278142,0.004338841,0.41264591,0,0.000284153,0.038034846,0.176739065,0.314311411,0.087955891,0.092370429,0.035106204
Stock-Prices,0.018329154,0.000110135,0.215828306,0.000604243,0.011216791,0,0.068486668,0.029426537,0.052516818,0.003109531,0.007531264,0.366041348,0,0.000226848,0.050751746,0.099793873,0.229409349,0.043947444,0.019095642,0.022735757
